Lit Lituania
Rusia Rusia
EEUU EEUU
Peru Peru
Brasil Brasil
Argent Argentina
Francia Francia
China China
Canada Canada
Alem Alemania
Suecia Suecia
Marru Marruecos
Japon Japon
Nig Nigeria
Egipto Egipto
Sudan Sudan
Mexico Mexico
Hond Honduras
Indon Indonesia
India India
Chile Chile
Esp Espanha
Italia Italia
Singap Singapur
Nepal Nepal
Pol Polonia
Belg Belgica
Ingl Inglaterra
Suiza Suiza
Urugu Uruguay
Parag Paraguay
Venez Venezuela
Ecuador Ecuador
Bolivia Bolivia
Din Dinamarca
Austria Austria
Austr Australia
Fiji Fiji
Samoa Samoa
Tonga Tonga
Palau Palau
Guam Guam
